Name,Domain,Status,Notes,vteDisinformation and misinformation,Types,Books and documentaries,Examples,Health,Operations and events by country,Canada,China,Czechoslovakia,Opposition
The National Sun,thenationalsun.com,,Same owners as Hot Global News.,,,,,,,,,,
net-breaking.com,net-breaking.com,,Affiliated with Leading Report.,,,,,,,,,,
News@Last,newsatlast.com,,"Fake news website in South Africa, per Africa Check, an IFCN signatory.
Same owner as News Updates South Africa.",,,,,,,,,,
News Updates South Africa,newsupdatessa.site,,Per Africa Check and News24.,,,,,,,,,,
Ohio Press Pro,ohiopress.pro,,Same owner as AJUAnews.,,,,,,,,,,
thepedogate.com,thepedogate.com,,Part of same network as America Talks. Spread the false Pizzagate conspiracy theory.,,,,,,,,,,
Right Wing Tribune,Rightwingtribune.com,,"Per FactCheck.org.
Same owners as America's Freedom Fighters.",,,,,,,,,,
AosFatos.com,AosFatos.com,,Spoof of Brazilian fact-checking organization Aos Fatos.,,,,,,,,,,
Business2Community,business2community.com,,Plagiarized fact-checks from Lead Stories.,,,,,,,,,,
The California Republican,carepublican.com,,Run by Devin Nunes' political campaign.,,,,,,,,,,
Descobrindo As Verdades,descobrindoasverdades.blogspot.com,,Has the same Google AdSense and Google Analytics codes as AosFatos.com.,,,,,,,,,,
Duboka Voda,dubokavoda.com,,"Partisan false fact-checking site in Croatia, per the Poynter Institute.",,,,,,,,,,
Fact Check Armenia,factcheckarmenia.com,,A website with ties to Turkish government-related organizations that denies the historical facts of the Armenian genocide.,,,,,,,,,,
Fact-Checking Turkey,factcheckingturkey.com,,Operated by PR company Bosphorus Global and counters criticism of Turkey in foreign media. It treats statements by Turkish government officials as arbiters of the truth.,,,,,,,,,,
Faktiskt.eu,Faktiskt.eu,,Spoof of Swedish fact-checking organization Faktiskt.,,,,,,,,,,
India News Network,indianewsnetwork.com,Active,Same owner as India Vs Disinformation.,,,,,,,,,,
India Vs Disinformation,indiavsdisinformation.com,,"Owned by ""a Canadian communications firm called Press Monitor""[84]",,,,,,,,,,
Jigyasa Online,jigyasaonline.org,,Same owner as India Vs Disinformation.,,,,,,,,,,
Middle East Guardians,meguardians.com,,Published false fact-check about Jamal Khashoggi.,,,,,,,,,,
Notícias Brasil Online,noticiasbrasilonline.com.br,,Has the same Google AdSense and Google Analytics codes as AosFatos.com.,,,,,,,,,,
O Detetive,odetetive.com,,Has the same Google AdSense and Google Analytics codes as AosFatos.com. The website owner was summoned by a regional court in Brazil for publishing a false story about the 2018 attack on Jair Bolsonaro.,,,,,,,,,,
OpIndia,opindia.com,Active,OpIndia is an Indian website that has been rejected by the International Fact-Checking Network (IFCN). Fact checkers certified by the IFCN have identified 25 fake news stories published by OpIndia between January 2018 and June 2020.,,,,,,,,,,
Pensa Brasil,pensabrasil.com,,Has the same Google AdSense and Google Analytics codes as AosFatos.com.,,,,,,,,,,
Plantão Brasil,plantaobrasil.net,,Has the same Google AdSense and Google Analytics codes as AosFatos.com.,,,,,,,,,,
Shayeaat,shayeaat.ir,,"Partisan false fact-checking site in Iran, per the Poynter Institute.",,,,,,,,,,
Vøx,voxnews.info,,"Partisan false fact-checking site in Italy, per the Poynter Institute. Not to be confused with Vox, the American news site.",,,,,,,,,,
War on Fakes,waronfakes.com,Defunct,"A Russian website that promotes Russian propaganda and disinformation about the Russian invasion of Ukraine.
Seized by the United States federal government in 2024.",,,,,,,,,,
AlaskaCommons.com,AlaskaCommons.com,,,,,,,,,,,,
The Americans Daily,theamericansdaily.com,,,,,,,,,,,,
BestBudgetUSA.com,BestBudgetUSA.com,,,,,,,,,,,,
Biz Breaking News,bizbreakingnews.com,,Summarizes The Financial Times and Fortune.,,,,,,,,,,
BNN Breaking,bnnbreaking.com,Redirect,,,,,,,,,,,
bnngpt.com,Redirect,,,,,,,,,,,,
bnn.network,Redirect,,,,,,,,,,,,
trimfeed.com,Redirect,,,,,,,,,,,,
Boluno.com,Boluno.com,,,,,,,,,,,,
bosase.com,bosase.com,,,,,,,,,,,,
Buckeye State Press,buckeyestatepress.com,,Created by a journalist to demonstrate the ease of building generative AI-based political news sites.,,,,,,,,,,
Celeb Jihad,celebjihad.com,Active,"Described by the Daily Beast as a ""satirical celebrity gossip website"",[102] the site has spread real and fake nude images of celebrities using Photoshop and Generative AI.",,,,,,,,,,
celebritiesdeaths.com,celebritiesdeaths.com,,,,,,,,,,,,
County Local News,CountyLocalNews.com,,,,,,,,,,,,
Daily Business Post,,,,,,,,,,,,,
DailyHeadliner.com,DailyHeadliner.com,,,,,,,,,,,,
Daily Time Update,,,,,,,,,,,,,
Esspots,esspots.com,,Part of the same network as SpaceXMania.,,,,,,,,,,
Famadillo.com,Famadillo.com,,,,,,,,,,,,
FilthyLucre.com,FilthyLucre.com,,,,,,,,,,,,
FoodingWorld.com,FoodingWorld.com,,,,,,,,,,,,
Getintoknowledge.com,Getintoknowledge.com,,,,,,,,,,,,
globalvillagespace.com,globalvillagespace.com,,,,,,,,,,,,
GlobeEcho.com,GlobeEcho.com,,,,,,,,,,,,
HistoryFact.in,HistoryFact.in,,,,,,,,,,,,
iBusiness Day,,,,,,,,,,,,,
IheartDogs.com,IheartDogs.com,,,,,,,,,,,,
InternationalNewsandViews.com,InternationalNewsandViews.com,,,,,,,,,,,,
Ireland Top News,irelandtopnews.com,,,,,,,,,,,,
L'Observatoire de l'Europe,observatoiredeleurope.com,,Accused of automatically plagiarizing stories from Euronews.,,,,,,,,,,
Lawyer Legality,lawyerlegality.com,,,,,,,,,,,,
LiverPoolDigest.co.uk,LiverPoolDigest.co.uk,,,,,,,,,,,,
Lunumi.com,Lunumi.com,,,,,,,,,,,,
Medical Outline,medicaloutline.com,,,,,,,,,,,,
Michigan Sports Zone,michigansportszone.com,,,,,,,,,,,,
NewsGPT,newsgpt.ai,Active,"Accused by Annie Lab of ""factual errors, misleading images, and possible plagiarism"" from Reuters, CBS News, and CNN.[113]",,,,,,,,,,
News Live 79,,,,,,,,,,,,,
News Today,sagenews.site,,Part of the same network as SpaceXMania.,,,,,,,,,,
News You Can't Use,newsyoucantuse.com,Defunct,,,,,,,,,,,
NewYorkFolk.com,NewYorkFolk.com,,,,,,,,,,,,
NoticiasDeEmprego.com.br,NoticiasDeEmprego.com.br,,,,,,,,,,,,
NotRealNews.net,NotRealNews.net,Defunct,,,,,,,,,,,
Roadan.com,Roadan.com,,,,,,,,,,,,
SpaceXMania,spacexmania.com,Active,"Accused by Christopher Blair, the owner of The Last Line of Defense, of plagiarizing its stories via a generative AI model. The New York Times also found that many stories from SpaceXMania were produced by generative AI.",,,,,,,,,,
Scoop Earth,ScoopEarth.com,Active,,,,,,,,,,,
setolu.com,setolu.com,,,,,,,,,,,,
Time.news,Time.news,,,,,,,,,,,,
TnewsNetwork.com,TnewsNetwork.com,,,,,,,,,,,,
TopGolf.kr,TopGolf.kr,,,,,,,,,,,,
topnews67.com,topnews67.com,,"Accused of plagiarizing story from The Last Line of Defense, possibly via ChatGPT.",,,,,,,,,,
TopStories.com.ng,TopStories.com.ng,,,,,,,,,,,,
TrendFool.com,TrendFool.com,,,,,,,,,,,,
US Newsper,usnewsper.com,,"Registered in Lithuania, falsely claims to be a news site for the United States. Spread false claim that Joe Biden's withdrawal from the 2024 United States presidential election was a hoax. Accused by NewsGuard of having a network of bots to share its stories on social media.",,,,,,,,,,
vatolu.com,vatolu.com,,,,,,,,,,,,
Walli.us,Walli.us,,,,,,,,,,,,
WaveFunction.info,WaveFunction.info,,,,,,,,,,,,
WestObserver.com,WestObserver.com,,Imitates CNN.,,,,,,,,,,
WhatsNew2Day.com,WhatsNew2Day.com,,,,,,,,,,,,
World-Today-News.com,World-Today-News.com,,,,,,,,,,,,
Worldtimetodays.com,worldtimetodays.com,,Accused of plagiarizing stories from Distractify and Heavy.com.,,,,,,,,,,
banned.video,banned.video,,"Sister site of InfoWars.
Warned by the US Food and Drug Administration for spreading misinformation on COVID-19 for ""claims on videos posted on your websites that establish the intended use of your products and misleadingly represent them as safe and/or effective for the treatment or prevention of COVID-19.""",,,,,,,,,,
Bare Naked Islam,barenakedislam.com,,,,,,,,,,,,
Brighteon,Brighteon.com,,Sister site of Natural News.,,,,,,,,,,
The Daily Stormer,DailyStormer.com,,Per PolitiFact.,,,,,,,,,,
Geller Report,Gellerreport.com,,"Registered through Pamela Geller's organization, the American Freedom Defense Initiative.",,,,,,,,,,
HoggWatch,hoggwatch.com,,Setup by Natural News founders to publish attacks against Parkland high school shooting survivors.,,,,,,,,,,
InfoWars,infowars.com,,"Managed by Alex Jones. Has claimed that millions of people have voted illegally in the 2016 presidential election, that the Sandy Hook Elementary School shooting was a hoax, that the Boston Marathon bombing was a false flag attack, and that the Democratic Party was hosting a child sex slave ring out of a pizza restaurant.",,,,,,,,,,
National File,nationalfile.com,,"Sister site of InfoWars. It has promoted misinformation about COVID-19 and the COVID-19 vaccines.
Leaked texts from Alex Jones's phone indicated that he started National File to promote InfoWars content while obscuring its origin to evade an InfoWars ban on Facebook.",,,,,,,,,,
Natural News,naturalnews.com,,"Formerly NewsTarget, a website for the sale of various dietary supplements, promotion of alternative medicine, controversial nutrition and health claims, and various conspiracy theories, such as ""chemtrails"", chemophobic claims (including the purported dangers of fluoride in drinking water, anti-perspirants, laundry detergent, monosodium glutamate, aspartame), and purported health problems caused by allegedly ""toxic"" ingredients in vaccines, including the now-discredited link to autism.",,,,,,,,,,
NewsTarget,newstarget.com,,Sister site of Natural News.,,,,,,,,,,
Next News Network,nextnewsnetwork.com,,Combined content from mainstream sites such as the Associated Press with content from sites such as RT and Sputnik.,,,,,,,,,,
PrisonPlanet,prisonplanet.com,,Sister site of InfoWars.,,,,,,,,,,
Red Ice,RedIce.tv,,,,,,,,,,,,
Return of Kings,returnofkings.com,,,,,,,,,,,,
TruNews,trunews.com,,,,,,,,,,,,
WorldNetDaily,wnd.com,,"A far-right website known for promoting falsehoods and conspiracy theories, including the false claim that Barack Obama was not born in the United States.",,,,,,,,,,
ancient-code.com,ancient-code.com,,,,,,,,,,,,
Children's Health Defense,childrenshealthdefense.org,Active,"Accused by NBC of ""[misinterpreting] research to stoke fears that vaccines might be dangerous for children and pregnant women"".[176] Filed a lawsuit in 2020 against Facebook, PolitiFact, Science Feedback, and the Poynter Institute over advertisements and fact-checked claims. Produced an anti-vaccine film that was marketed towards Black Americans. One of its participants, a medical history professor, felt that she had been ""used"" as part of ""an advocacy piece for anti-vaxxers.""[177] Cited by the Center for Countering Digital Hate as one of the ""Disinformation Dozen"" for frequently sharing anti-vaccine misinformation on social media.[178] Banned by Facebook and Instagram in 2022 for repeatedly spreading medical misinformation.",,,,,,,,,,
Collective Evolution,collective-evolution.com,Active,"Spread misinformation about vaccines and COVID-19, and shared conspiracy theories about Mark Zuckerberg and airport body scanners.",,,,,,,,,,
collectivelyconscious.net,collectivelyconscious.net,,,,,,,,,,,,
dineal.com,dineal.com,,,,,,,,,,,,
EWAO (Earth. We Are One),ewao.com,,Published false claim that images of a mountain formation in Antartica is evidence of an ancient civilization.,,,,,,,,,,
Feature Remedies,featureremedies.com,,Falsely claimed that ginger is a more effective cancer treatment than chemotherapy.,,,,,,,,,,
Food Babe,foodbabe.com,Active,"Promoted anti-vaccine misinformation. Criticized for promoting chemophobia and ""misinformation and fear-mongering about food ingredients.""[193] NPR notes that a revenue stream is based on affiliate marketing partnerships with organic and non-GMO food brands. Alleged collusion between Monsanto and the Food and Drug Administration over cancelling a program to monitor glyphosate in food, which Snopes has deemed as false.",,,,,,,,,,
Galactic Connection,galacticconnection.com,,Published an article claiming the existence of aliens was disclosed by Russia after a joke made by then-Prime Minister Dmitry Medvedev.,,,,,,,,,,
Geoengineering Watch,geoengineeringwatch.org,Active,"Published video claiming the existence of solar geoengineering and chemtrails, which Climate Feedback deemed as incorrect. The site owner filed a lawsuit against one of the scientist reviewers, claiming that the fact-check limited the video's reach on social media. The lawsuit was dismissed, with plans to appeal as of September 2022.",,,,,,,,,,
Goop,goop.com,Active,"Accused in 2020 by Truth in Advertising of violating a court settlement to stop spreading false medical claims about Goop products. Criticized by Simon Stevens, the then-Chief Executive of NHS England, for promoting products and procedures that he described as monetarily wasteful or ""carrying considerable risks to health"".[200] Sells many of the same wellness products as Infowars.",,,,,,,,,,
GreenMedInfo,greenmedinfo.com,Active,"Founded by Sayer Ji, who has been cited by the Center for Countering Digital Hate as one of the ""Disinformation Dozen"" for frequently sharing anti-vaccine misinformation on social media.[178] Removed from Pinterest in 2019, which Snopes concluded was likely due to the site’s promotion of health misinformation. Spread false claims about COVID-19 vaccines. Includes a search engine that McGill University describes as ""biased toward scientific papers that claim natural food and alternative medicine can prevent and heal diseases.""[203] Claims without evidence that marijuana is a cure for cancer.",,,,,,,,,,
Health Holistic Living,healthyholisticliving.com,,"Falsely claimed that ginger is a more effective cancer treatment than chemotherapy, that manuka honey is more effective than antibiotics, and that repeatedly boiling water is harmful. Cites peer-reviewed research to draw conclusions not supported by the works in question, such as citing four studies to claim that magnesium is an effective treatment for ADHD.",,,,,,,,,,
healthy-holistic-living.com,,,,,,,,,,,,,
Health Impact News,healthimpactnews.com,,"Falsely linked deaths to flu vaccines and COVID-19 vaccines, and spread unproven cures for COVID-19.",,,,,,,,,,
Health Nut News,healthnutnews.com,,"Founded by Erin Elizabeth, who was cited by the Center for Countering Digital Hate as one of the ""Disinformation Dozen"" for frequently sharing anti-vaccine misinformation on social media.[178] Removed from Pinterest in 2019, which Snopes concluded was likely due to the site’s promotion of health misinformation. Spread conspiracy theories falsely alleging that the deaths of doctors or alternative health practitioners were connected.",,,,,,,,,,
In5D,in5d.com,,,,,,,,,,,,
The Institute for Creation Research,icr.org,,,,,,,,,,,,
Institute for Responsible Technology,responsibletechnology.org,,Founded by Jeffrey M. Smith.,,,,,,,,,,
Medical Kidnap,medicalkidnap.com,,"Spread false or unproven claims about cases involving Child protective services. Falsely framed COVID-19 vaccines as ""experimental"".[216] Part of the same network as Vaccine Impact and Health Impact News.",,,,,,,,,,
Mercola.com,mercola.com,,"Founded by Joseph Mercola, who was cited by the Center for Countering Digital Hate as one of the ""Disinformation Dozen"" for frequently sharing anti-vaccine misinformation on social media.[178] Removed from Pinterest in 2019, which Snopes concluded was likely due to the site’s promotion of health misinformation.",,,,,,,,,,
Natural Blaze,naturalblaze.com,,,,,,,,,,,,
Principia Scientific International,principia-scientific.com,,Repeatedly published climate change denial and false claims about COVID-19.,,,,,,,,,,
principia-scientific.org,,,,,,,,,,,,,
RealFarmacy,realfarmacy.com,,"Noted by the Wall Street Journal to promote homeopathy. Spread false claims about COVID-19 origins and unproven treatments. Spread anti-vaccine misinformation and has been noted by NewsGuard to have ""promoted ineffective and potentially dangerous cancer treatments.""[233]",,,,,,,,,,
Riposte laique,ripostelaique.com,,Spread false claim that the French government approved euthanasia during the COVID-19 pandemic.,,,,,,,,,,
Science Vibe,sciencevibe.com,,Reposted satirical story from World News Daily Report and framed it as genuine news. Reposted hoax on assassination of Marilyn Monroe.,,,,,,,,,,
Stop Mandatory Vaccination,stopmandatoryvaccination.com,,"The founder has been described by NBC News as ""a man without medical training who has made a name as a leader of the online anti-vaccination movement.""[245]
Censured by the Advertising Standards Authority in 2018 for distributing a Facebook ad targeted towards parents with misleading claims about vaccines.
Accused by the Guardian of ""[using] Facebook’s advertising tools to target their propaganda exclusively at women.""[246]
Publishes ""accounts from parents who claim that a baby's death was the result of a vaccination. Many of those viral articles have been debunked with official, medically supported explanations that include sudden infant death syndrome, pneumonia and accidental asphyxiation.""[176]
Misinformation from the group has resulted in at least one death: a child whose mother was urged by other group members not to give her son Tamiflu after he had a bout of the flu.
Accounts associated with the site and its founder have been suspended from Facebook and Twitter in 2020 for promoting QAnon conspiracy theories. The founder’s YouTube channel was demonetized in 2019 due to ""[promoting] anti-vaccination content"".[247] Ads to the site were also removed by Facebook in 2019 for violating Facebook’s policies on misinformation about vaccines. The founder’s Twitter account was reinstated in 2023.",,,,,,,,,,
Technocracy News,technocracy.news,,Spread misinformation about face masks with respect to COVID-19 as well as COVID-19 vaccinations. Falsely claimed that carbon dioxide is not a greenhouse gas. The site owner edits a health newsletter for Newsmax.,,,,,,,,,,
The Truth About Cancer,thetruthaboutcancer.com,,"According to NewsGuard, ""repeatedly promotes ineffective, unproven, and dangerous treatments for cancer"".[256]",,,,,,,,,,
TruthKings,truthkings.com,,Posted false allegations of fraud in the 2008 US presidential election. Spread false information about vaccines. Reportedly owned by Sherri Tenpenny.,,,,,,,,,,
Vaccine Impact,vaccineimpact.com,,Part of the same network as Medical Kidnap and Health Impact News.,,,,,,,,,,
The Waking Times,wakingtimes.com,,Accused by the Global Disinformation Index of spreading disinformation on COVID-19 public policies.,,,,,,,,,,
Chicks On The Right,chicksonright.com,,"Spread false claim about an upcoming ""mini ice age"".[262]",,,,,,,,,,
chicksontheright.com,,,,,,,,,,,,,
Climate Intelligence Foundation (CLINTEL),clintel.org,,,,,,,,,,,,
NoTricksZone,notrickszone.com,,,,,,,,,,,,
Klimaat Feiten,klimaatfeiten.nl,,,,,,,,,,,,
Climate Gate,climategate.nl,,,,,,,,,,,,
Energy Talking Points,energytalkingpoints.com,,,,,,,,,,,,
Clima et Verité,climatetverite.net,,,,,,,,,,,,
Climato-Réalistes,climato-realistes.fr,,,,,,,,,,,,
Global Warming Scare,globalwarmingscare.wordpress.com,,,,,,,,,,,,
Climate Fraud,klima-schwindel.com,,,,,,,,,,,,
Climate Skeptical,climat-sceptique.over-blog.com,,,,,,,,,,,,
Climate Depot,climatedepot.com,,,,,,,,,,,,
Climate Exit (CLEXIT),clexit.net,,,,,,,,,,,,
Climate Resistance,climate-resistance.org,,,,,,,,,,,,
CO2 Coalition,co2coalition.org,,,,,,,,,,,,
The Daily Sceptic,dailysceptic.org,,Publishes anti-vaccine and climate change denial misinformation.,,,,,,,,,,
